 ID,Date,Parameter/Paramètre,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation,Grade/Classification,Qualifiers/Qualificatifs
05EA001,2026-07-15T09:35:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T09:40:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T09:45:00Z,47,41.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T09:50:00Z,47,41.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T09:55:00Z,47,41.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:00:00Z,47,42.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:05:00Z,47,42.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:10:00Z,47,42.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:15:00Z,47,42.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:20:00Z,47,42.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:25:00Z,47,42.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:30:00Z,47,42.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:35:00Z,47,42.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:40:00Z,47,42.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:45:00Z,47,42.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:50:00Z,47,42.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T10:55:00Z,47,42.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:00:00Z,47,42.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:05:00Z,47,42.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:10:00Z,47,42.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:15:00Z,47,42.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:20:00Z,47,42.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:25:00Z,47,41.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:30:00Z,47,41.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:35:00Z,47,41.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:40:00Z,47,41.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:45:00Z,47,41.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:50:00Z,47,41.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T11:55:00Z,47,41.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:00:00Z,47,41.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:05:00Z,47,41.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:10:00Z,47,41.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:15:00Z,47,41.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:20:00Z,47,41.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:25:00Z,47,41.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:30:00Z,47,41.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:35:00Z,47,41.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:40:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:45:00Z,47,41.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:50:00Z,47,41.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T12:55:00Z,47,41.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:00:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:05:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:10:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:15:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:20:00Z,47,40.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:25:00Z,47,40.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:30:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:35:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:40:00Z,47,41.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:45:00Z,47,40.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:50:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T13:55:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:00:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:05:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:10:00Z,47,40.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:15:00Z,47,40.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:20:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:25:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:30:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:35:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:40:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:45:00Z,47,40.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:50:00Z,47,40.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T14:55:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:00:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:05:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:10:00Z,47,40.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:15:00Z,47,40.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:20:00Z,47,40.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:25:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:30:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:35:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:40:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:45:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:50:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T15:55:00Z,47,40.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:00:00Z,47,40.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:05:00Z,47,40.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:10:00Z,47,40.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:15:00Z,47,40.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:20:00Z,47,40.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:25:00Z,47,40.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:30:00Z,47,40.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:35:00Z,47,40.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:40:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:45:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:50:00Z,47,40.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T16:55:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:00:00Z,47,40.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:05:00Z,47,40.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:10:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:15:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:20:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:25:00Z,47,40.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:30:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:35:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:40:00Z,47,40.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:45:00Z,47,39.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:50:00Z,47,40.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T17:55:00Z,47,40.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:00:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:05:00Z,47,39.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:10:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:15:00Z,47,39.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:20:00Z,47,39.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:25:00Z,47,39.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:30:00Z,47,39.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:35:00Z,47,39.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:40:00Z,47,39.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:45:00Z,47,39.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:50:00Z,47,39.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T18:55:00Z,47,39.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:00:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:05:00Z,47,39.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:10:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:15:00Z,47,39.7,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:20:00Z,47,39.6,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:25:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:30:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:35:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:40:00Z,47,39.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:45:00Z,47,39.5,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:50:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T19:55:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:00:00Z,47,39.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:05:00Z,47,39.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:10:00Z,47,39.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:15:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:20:00Z,47,39.4,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:25:00Z,47,39.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:30:00Z,47,39.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:35:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:40:00Z,47,39.3,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:45:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:50:00Z,47,39.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T20:55:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:00:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:05:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:10:00Z,47,39.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:15:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:20:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:25:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:30:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:35:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:40:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:45:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:50:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T21:55:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:00:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:05:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:10:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:15:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:20:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:25:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:30:00Z,47,39.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:35:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:40:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:45:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:50:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T22:55:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:00:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:05:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:10:00Z,47,39.2,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:15:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:20:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:25:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:30:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:35:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:40:00Z,47,39.1,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:45:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:50:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-15T23:55:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:00:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:05:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:10:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:15:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:20:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:25:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:30:00Z,47,39.0,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:35:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:40:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:45:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:50:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T00:55:00Z,47,38.9,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:00:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:05:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:10:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:15:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:20:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:25:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:30:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:35:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:40:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:45:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:50:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T01:55:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:00:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:05:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:10:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:15:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:20:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:25:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:30:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:35:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:40:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:45:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:50:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T02:55:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:00:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:05:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:10:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:15:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:20:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:25:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:30:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:35:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:40:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:45:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:50:00Z,47,38.8,,,Provisional/Provisoire,,
05EA001,2026-07-16T03:55:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:00:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:05:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:10:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:15:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:20:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:25:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:30:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:35:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:40:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:45:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:50:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T04:55:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:00:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:05:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:10:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:15:00Z,47,38.1,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:20:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:25:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:30:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:35:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:40:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:45:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:50:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T05:55:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:00:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:05:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:10:00Z,47,38.7,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:15:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:20:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:25:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:30:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:35:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:40:00Z,47,38.1,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:45:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:50:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T06:55:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:00:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:05:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:10:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:15:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:20:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:25:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:30:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:35:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:40:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:45:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:50:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T07:55:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:00:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:05:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:10:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:15:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:20:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:25:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:30:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:35:00Z,47,38.1,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:40:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:45:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:50:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T08:55:00Z,47,38.1,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:00:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:05:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:10:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:15:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:20:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:25:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:30:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:35:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:40:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:45:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:50:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T09:55:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:00:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:05:00Z,47,38.6,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:10:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:15:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:20:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:25:00Z,47,38.0,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:30:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:35:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:40:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:45:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:50:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T10:55:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:00:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:05:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:10:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:15:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:20:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:25:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:30:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:35:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:40:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:45:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:50:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T11:55:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:00:00Z,47,38.0,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:05:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:10:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:15:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:20:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:25:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:30:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:35:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:40:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:45:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:50:00Z,47,38.5,,,Provisional/Provisoire,,
05EA001,2026-07-16T12:55:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:00:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:05:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:10:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:15:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:20:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:25:00Z,47,38.3,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:30:00Z,47,38.2,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:35:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:40:00Z,47,38.4,,,Provisional/Provisoire,,
05EA001,2026-07-16T13:45:00Z,47,38.2,,,Provisional/Provisoire,,
